"symbol";"nimi";"sektor";"hind";"tootlus";"kogus";"kasum_aktsia_kohta";"dividend_aktsia_kohta"
"EIX";"Edison Int'l";"Utilities";57.73;-1.5686307;1495061;0.962;2.55
"EL";"Estée Lauder Companies";"Consumer Staples";280.54;2.833478;2477484;2.527;1.49
"EMN";"Eastman Chemical";"Materials";107.46;2.832535;736816;3.5;2.67
"EMR";"Emerson Electric Company";"Industrials";86.52;0.47613057;3248167;3.455;2.005
"ENPH";"Enphase Energy";"Information Technology";197.87;2.4171834;2114248;1.284;NA
"EOG";"EOG Resources";"Energy";59.41;4.946121;4077784;-0.529;1.413
"EQIX";"Equinix";"Real Estate";747.41;-0.91211677;371718;5.077;10.44
"EQR";"Equity Residential";"Real Estate";66.08;1.7241422;3880791;2.545;2.375
"ES";"Eversource Energy";"Utilities";85.51;-2.6082015;2118995;3.523;2.237
"ESS";"Essex Property Trust, Inc.";"Real Estate";260.57;0.9569938;751933;8.69;8.31
"ETN";"Eaton Corporation";"Industrials";120.22;-1.4105308;2547729;3.49;2.92
"ETR";"Entergy Corp.";"Utilities";94.47;-2.2353265;1150806;6.891;3.72
"ETSY";"Etsy";"Consumer Discretionary";231.69;0.2466283;2993243;1.862;NA
"EW";"Edwards Lifesciences";"Health Care";86.08;1.1515903;2167485;1.3;NA
"EVRG";"Evergy";"Utilities";54.22;-1.2206198;1198877;2.762;2.02
"EXC";"Exelon Corp.";"Utilities";43.74;0.13736579;4314720;2.43;1.518
"EXPD";"Expeditors";"Industrials";94.64;1.8620124;872816;3.707;1.02
"EXPE";"Expedia Group";"Consumer Discretionary";145.42;2.8430016;2523695;-15.493;0.68
"EXR";"Extra Space Storage";"Real Estate";117.18;0.48018998;435111;3.368;3.6
"F";"Ford Motor Company";"Consumer Discretionary";11.56;0.43440652;75359614;-0.322;0.15
"FANG";"Diamondback Energy";"Energy";68.93;6.9511304;2661953;-26.836;1.5
"FAST";"Fastenal Co";"Industrials";47.47;0.35941222;2350156;1.49;1
"FB";"Facebook, Inc.";"Communication Services";266.58;-0.5669599;13755191;10.09;NA
"FBHS";"Fortune Brands Home & Security";"Industrials";91.57;3.4338653;703963;3.94;0.96
"FCX";"Freeport-McMoRan Inc.";"Materials";32.12;1.2291188;17521114;0.41;0.05
"FDX";"FedEx Corporation";"Industrials";257.45;0.9568322;2134104;9.261;2.6
"FE";"FirstEnergy Corp";"Utilities";32.13;-0.46467692;5511973;1.341;1.56
"FFIV";"F5 Networks";"Information Technology";205.79;3.3393562;443626;4.807;NA
"FIS";"Fidelity National Information Services";"Information Technology";133.43;0.90750736;3689977;-0.168;1.4
"FISV";"Fiserv Inc";"Information Technology";113.4;1.0515062;3251696;1.316;NA
"FITB";"Fifth Third Bancorp";"Financials";32.57;1.4799765;3123941;1.83;1.08
"FLIR";"FLIR Systems";"Information Technology";54.58;0.5526954;1086833;1.042;0.68
"FLS";"Flowserve Corporation";"Industrials";38.79;3.2197952;683283;1.122;0.79
"FLT";"FleetCor Technologies Inc";"Information Technology";258.23;0.33805785;618028;8.12;NA
"FMC";"FMC Corporation";"Materials";116.65;1.2762643;621072;3.822;1.76
"FOX";"Fox Corporation (Class B)";"Communication Services";31.55;4.0910583;1587011;2.627;0.46
"FOXA";"Fox Corporation (Class A)";"Communication Services";32.69;4.0420065;7196351;2.627;0.46
"FRC";"First Republic Bank";"Financials";156.34;0.35304132;709107;5.81;0.8
"FRT";"Federal Realty Investment Trust";"Real Estate";91.35;0.09861531;516098;2.321;4.21
"FTI";"TechnipFMC";"Energy";10.62;-1.3011184;18154981;-12.643;0.13
"FTNT";"Fortinet";"Information Technology";159.43;2.5405178;1324791;2.91;NA
"FTV";"Fortive Corp";"Industrials";67.68;-1.7706839;4496439;4.494;0.28
"GD";"General Dynamics";"Industrials";159.64;0.51630276;1246154;11;4.4
"GE";"General Electric";"Industrials";11.61;1.8421056;42360521;0.576;0.04
"GILD";"Gilead Sciences";"Health Care";67.97;-0.7157433;9199544;0.098;2.72
"GIS";"General Mills";"Consumer Staples";57.7;0.5226467;2990154;3.902;1.98
"GL";"Globe Life Inc.";"Financials";94.1;0.46977875;461211;6.83;0.69
"GLW";"Corning Inc.";"Information Technology";37.68;0.69482136;2293879;0.54;0.88
"GM";"General Motors";"Consumer Discretionary";56.88;4.539609;26897454;2.23;0.76
"GOOG";"Alphabet Inc. (Class C)";"Communication Services";2092.91;-0.24261619;1197411;58.613;NA
"GOOGL";"Alphabet Inc. (Class A)";"Communication Services";2084.52;-0.2063384;1441443;58.613;NA
"GPC";"Genuine Parts";"Consumer Discretionary";103.58;1.8986722;682322;-1.325;3.132
"GPN";"Global Payments Inc.";"Information Technology";200.33;1.038986;3426040;1.673;0.78
"GPS";"Gap Inc.";"Consumer Discretionary";22.27;-1.6777005;3845373;-2.903;0.485
"GRMN";"Garmin Ltd.";"Consumer Discretionary";124.14;3.1662908;1218537;5.327;2.44
"GS";"Goldman Sachs Group";"Financials";300.15;2.2657561;2822977;24.74;5
"GWW";"Grainger (W.W.) Inc.";"Industrials";378.81;2.9654808;395273;12.831;5.94
"HAL";"Halliburton Co.";"Energy";20.04;5.5848336;9138616;-3.343;0.315
"HAS";"Hasbro Inc.";"Consumer Discretionary";93.15;-4.2454743;2631668;2.82;2.72
"HBAN";"Huntington Bancshares";"Financials";14.22;1.0661021;7968913;0.69;0.6
"HBI";"Hanesbrands Inc";"Consumer Discretionary";15.98;0.69312954;5176768;1.226;0.6
"HCA";"HCA Healthcare";"Health Care";178.94;1.2161373;1593896;10.925;0.43
"HD";"Home Depot";"Consumer Discretionary";280.03;0.41957024;3472555;11.561;6
"HES";"Hess Corporation";"Energy";60.38;6.0414515;1932457;-10.15;1
"HFC";"HollyFrontier Corp";"Energy";31.93;5.728475;2462345;-2.615;1.4
"HIG";"Hartford Financial Svc.Gp.";"Financials";50.31;-0.25772652;1868471;4.76;1.3
"HII";"Huntington Ingalls Industries";"Industrials";165.02;0.68334985;296543;14.579;4.12
"HLT";"Hilton Worldwide Holdings Inc";"Consumer Discretionary";112.32;0.5820735;2060895;-1.137;0.3
"HOLX";"Hologic";"Health Care";82.28;-0.62802446;1746632;5.265;NA
"HON";"Honeywell Int'l Inc.";"Industrials";203.86;0.46323794;2075204;6.72;3.63
"HPE";"Hewlett Packard Enterprise";"Information Technology";13.5;2.7397234;9013973;-0.25;0.48
"HPQ";"HP Inc.";"Information Technology";27.3;4.397704;8422847;2;0.705
"HRL";"Hormel Foods Corp.";"Consumer Staples";49.8;1.5083528;2612662;1.66;0.93
"HSIC";"Henry Schein";"Health Care";70.78;0.92685235;473667;4.089;NA
"HST";"Host Hotels & Resorts";"Real Estate";14.3;0.73970056;5555675;-0.83;0.4
"HSY";"The Hershey Company";"Consumer Staples";149.33;1.862207;2025607;6.11;3.154
"HUM";"Humana Inc.";"Health Care";378.34;-0.25309557;1399718;25.31;2.5
"HWM";"Howmet Aerospace";"Industrials";27.74;2.2484357;1917112;NA;NA
"IBM";"International Business Machines";"Information Technology";123.61;1.4943753;5883603;6.229;6.51
"ICE";"Intercontinental Exchange";"Financials";113.46;-0.6392883;2510999;3.77;1.2
"IDXX";"IDEXX Laboratories";"Health Care";495.76;-1.3687738;427640;6.71;NA
"IEX";"IDEX Corporation";"Industrials";198.43;3.1608977;870067;4.94;2
"IFF";"International Flavors & Fragrances";"Materials";127.25;0.14953758;7217457;3.342;3.02
"ILMN";"Illumina Inc";"Health Care";451.06;5.1642523;1129020;4.314;NA
"INCY";"Incyte";"Health Care";93.62;3.745573;1001411;-1.552;NA
"INFO";"IHS Markit Ltd.";"Industrials";89.42;0.111955;1737860;2.17;0.68
"INTC";"Intel Corp.";"Information Technology";59.16;1.6844269;34358295;4.94;1.32
"INTU";"Intuit Inc.";"Information Technology";389.74;0.09245091;898646;7.446;2.18
"IP";"International Paper";"Materials";47.84;1.7223079;2997195;1.22;2.05
"IPG";"Interpublic Group";"Communication Services";26.61;2.4249463;4722799;1.448;1
"IPGP";"IPG Photonics Corp.";"Information Technology";243.12;1.9670354;156920;1.968;NA
"IQV";"IQVIA Holdings Inc.";"Health Care";186.91;0.43524852;1344015;0.906;NA
"IR";"Ingersoll Rand";"Industrials";44.05;0.61672103;1275218;-0.486;2.12
